Class	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm	Esr1 (Opal 480): Num Spots	Prg (Opal 520): Num Spots	Prlr (Opal 570): Num Spots	Oxt (Opal 620): Num Spots
Positive	7.6408	1.0506	2.9981	4	7	0	0
Positive	7.6228	0.8787	5.4804	6	8	0	0
Positive	7.6069	2.5065	5.4504	1	5	2	5
Positive	7.6417	2.3563	1.2378	9	17	0	4
Positive	7.5308	6.8667	9.5611	5	4	0	0
Positive	7.6119	1.074	6.6142	4	4	0	0
Positive	7.6029	1.2037	7.5835	3	14	0	0
Positive	7.5937	1.3383	8.586	1	18	3	0
Positive	7.6316	0.3834	4.9935	2	4	0	0
Positive	7.5908	1.4809	8.7666	2	20	0	1
Positive	7.619	0.8575	5.9861	0	0	0	0
Positive	7.5931	5.6554	3.2233	5	8	1	10
Positive	7.6359	2.5414	1.7372	3	6	0	0
Positive	7.5934	6.3491	2.3141	7	4	0	4
Positive	7.5846	3.1686	7.4215	1	2	0	0
Positive	7.5906	5.6865	3.5028	0	12	0	2
Positive	7.628	2.7331	2.4968	28	25	3	5
Positive	7.6314	0.3868	5.0215	2	12	0	0
Positive	7.638	2.5792	1.4299	2	6	0	0
Positive	7.6438	1.4531	2.1042	2	9	0	0
Positive	7.6285	2.7301	2.4303	8	9	5	0
Positive	7.5557	3.7465	10.3549	1	13	0	0
Positive	7.5576	3.9742	9.8271	13	32	1	61
Positive	7.6041	3.0291	5.1457	7	14	0	0
Positive	7.5625	5.566	7.2012	0	3	5	0
Positive	7.5727	3.7202	8.2301	0	7	0	0
Positive	7.6319	1.0924	4.0619	9	8	0	0
Positive	7.6137	1.1097	6.3482	4	32	0	0
Positive	7.5614	4.6313	8.5191	0	9	0	0
Positive	7.5819	3.2938	7.6068	1	3	2	0
Positive	7.6298	0.9999	4.4491	24	6	0	0
Positive	7.6358	3.3834	0.6955	14	9	0	12
Positive	7.5991	2.558	6.3608	7	9	14	17
Positive	7.5717	2.2013	10.2795	0	5	0	0
Positive	7.6094	3.76	3.5537	6	6	0	0
